"kön","utbildningens inriktning","ålder","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"totalt","Totalt","totalt",24789,29556,33684,36657,39417,41597,42484,40754,42596,44929,46633,47983,50373,52741,61393,75371,82753,84871,84560,87225
"totalt","Data/It","totalt",2587,2546,2797,2817,2857,2903,3160,3398,4054,4937,5812,6183,6210,5704,7086,10283,12852,14255,15162,16447
"totalt","Ekonomi, administration och försäljning","totalt",6238,7582,8807,10264,11286,11905,12179,11946,12253,12261,11670,11529,12193,13797,15994,18491,18540,17818,17354,17380
"totalt","Friskvård och kroppsvård","totalt",481,738,883,993,1009,857,591,371,363,330,352,303,238,231,302,335,372,408,460,366
"totalt","Hotell, restaurang och turism","totalt",2223,2553,2906,3074,2965,2905,2888,2592,2525,2559,2606,2533,2534,2499,2718,3094,3314,3007,2753,2800
"totalt","Hälso- och sjukvård samt socialt arbete","totalt",2992,3807,4200,4029,4091,4496,4656,4525,4965,5738,6023,6162,6727,7451,9031,10904,12052,12880,12521,11916
"totalt","Journalistik och information","totalt",114,101,114,159,213,256,299,277,413,621,649,723,802,833,904,967,936,823,752,646
"totalt","Juridik","totalt",..,61,122,157,167,173,175,242,280,284,309,336,412,438,451,484,488,416,346,346
"totalt","Kultur, media och design","totalt",2803,2938,2893,2993,2952,2791,2567,2363,2509,2627,2769,2770,2865,2904,3016,3432,3916,4223,4457,4636
"totalt","Lantbruk, djurvård, trädgård, skog och fiske","totalt",920,1341,1538,1502,1549,1704,1654,1461,1355,1251,1307,1407,1442,1360,1416,1613,1810,1950,2091,2346
"totalt","Pedagogik och undervisning","totalt",16,103,186,220,250,462,660,454,424,485,422,534,654,861,1289,1528,1806,1976,1510,1095
"totalt","Samhällsbyggnad och byggteknik","totalt",1406,1947,2388,2641,3183,3540,3918,4363,4743,4969,5512,6066,6831,7534,9019,11547,12744,13038,12561,13129
"totalt","Säkerhetstjänster","totalt",267,425,565,626,629,544,459,370,336,350,378,375,275,284,408,579,594,763,833,830
"totalt","Teknik och tillverkning","totalt",3920,4310,4928,5563,6511,7142,7334,6731,7036,7328,7387,7259,7058,6839,7763,9931,11279,11309,11709,13226
"totalt","Transporttjänster","totalt",822,1104,1357,1590,1696,1859,1845,1487,1116,941,1190,1544,1850,1749,1673,1757,1573,1490,1618,1691
"totalt","Övrigt","totalt",..,..,..,29,59,60,99,174,224,248,247,259,282,257,323,426,477,515,433,371
